time,conductivity,temperature,chlorophylla,dissolvedoconcentration,temperature2,temperature3,DO_mg_L
2020-03-26 10:30:00,41.2048645019531,16.9913330078125,4.093505859375,203.633209228516,16.9601001739502,31.8050117492676,6.5162626953125
2020-03-26 11:00:00,41.2456512451172,17.033203125,4.33148193359375,208.490386962891,17.0233001708984,31.8070583343506,6.6716923828125
2020-03-26 11:30:00,41.2078323364258,16.9843444824219,8.0001220703125,211.570327758789,16.9986000061035,31.8130855560303,6.77025048828125
2020-03-26 12:00:00,41.2304039001465,17.0187072753906,10.6299438476562,221.000701904297,17.0054988861084,31.8053741455078,7.0720224609375
2020-03-26 12:30:00,41.2269020080566,17.0341186523438,23.8887329101562,216.488464355469,17.0068988800049,31.7902030944824,6.927630859375
2020-03-26 13:00:00,41.2478637695312,17.0496215820312,13.613525390625,230.103622436523,17.0021991729736,31.7959976196289,7.36331591796875
2020-03-26 13:30:00,41.2052383422852,17.0210266113281,11.9140625,220.768035888672,17.0100994110107,31.7818908691406,7.0645771484375
2020-03-26 14:00:00,41.1778221130371,16.9834594726562,13.5997924804688,211.891754150391,16.9811000823975,31.7879371643066,6.7805361328125
2020-03-26 14:30:00,41.3024673461914,17.1064453125,16.1000366210938,220.842041015625,17.0734996795654,31.7981185913086,7.0669453125
2020-03-26 15:00:00,41.3230285644531,17.1237487792969,17.4293212890625,214.82307434082,17.1213989257812,31.8021373748779,6.87433837890625
2020-03-26 15:30:00,41.3914031982422,17.1897583007812,6.04241943359375,209.373245239258,17.1895999908447,31.8087997436523,6.69994384765625
2020-03-26 16:00:00,41.4220314025879,17.203125,4.518310546875,206.007217407227,17.2008991241455,31.8245258331299,6.59223095703125
2020-03-26 16:30:00,41.4031372070312,17.1914978027344,5.2724609375,203.858932495117,17.1749000549316,31.8174896240234,6.52348583984375
2020-03-26 17:00:00,41.4128837585449,17.1988830566406,7.13311767578125,205.692123413086,17.1881999969482,31.8200263977051,6.58214794921875
2020-03-26 17:30:00,41.3231353759766,17.1039733886719,7.0709228515625,201.487899780273,17.1084995269775,31.8178157806396,6.44761279296875
2020-03-26 18:00:00,41.2834663391113,17.0703125,5.25579833984375,203.700210571289,17.0623989105225,31.8102912902832,6.51840673828125
2020-03-26 18:30:00,41.2685928344727,17.0528564453125,6.71881103515625,204.750198364258,17.0482997894287,31.8112812042236,6.55200634765625
2020-03-26 19:00:00,41.2227783203125,17.0164489746094,6.88055419921875,201.085037231445,17.0086994171143,31.8005962371826,6.43472119140625
2020-03-26 19:30:00,41.2114219665527,17.0307006835938,6.15240478515625,199.931594848633,17.0042991638184,31.7795791625977,6.39781103515625
2020-03-26 20:00:00,41.2825927734375,17.0794677734375,8.212646484375,209.279113769531,17.0830993652344,31.8023052215576,6.696931640625
2020-03-26 20:30:00,41.2201042175293,17.0136108398438,6.19482421875,206.854598999023,17.0156993865967,31.8005332946777,6.61934716796875
2020-03-26 21:00:00,41.1787185668945,16.9784240722656,5.7513427734375,209.604690551758,16.9818992614746,31.7926826477051,6.70735009765625
2020-03-26 21:30:00,41.1426658630371,16.9447326660156,6.46990966796875,208.440200805664,16.9370002746582,31.7882308959961,6.67008642578125
2020-03-26 22:00:00,41.1086959838867,16.906494140625,5.35845947265625,207.780731201172,16.8957004547119,31.7891540527344,6.6489833984375
2020-03-26 22:30:00,41.0945587158203,16.9035034179688,5.42535400390625,204.740646362305,16.8666000366211,31.7793235778809,6.55170068359375
2020-03-26 23:00:00,41.0722351074219,16.8700256347656,5.030029296875,202.285247802734,16.8727989196777,31.7865257263184,6.4731279296875
2020-03-26 23:30:00,41.0617599487305,16.8656005859375,4.8458251953125,202.595001220703,16.8689002990723,31.7809810638428,6.4830400390625
2020-03-27 00:00:00,41.0435066223145,16.8450012207031,4.75762939453125,206.036697387695,16.8453998565674,31.7815093994141,6.59317431640625
2020-03-27 00:30:00,41.0326042175293,16.8357849121094,5.08111572265625,209.15690612793,16.8388996124268,31.7793827056885,6.69302099609375
2020-03-27 01:00:00,40.9852256774902,16.7820434570312,3.6708984375,203.5546875,16.7785987854004,31.7809600830078,6.51375
2020-03-27 01:30:00,40.9598350524902,16.7588806152344,4.10699462890625,202.749984741211,16.7449989318848,31.7773323059082,6.48799951171875
2020-03-27 02:00:00,40.9171981811523,16.7080383300781,3.98345947265625,202.199462890625,16.7019996643066,31.7806930541992,6.4703828125
2020-03-27 02:30:00,40.8964500427246,16.6820068359375,4.97845458984375,201.358779907227,16.6752986907959,31.7833442687988,6.44348095703125
2020-03-27 03:00:00,40.8591499328613,16.6439514160156,3.4327392578125,198.780578613281,16.6353988647461,31.7811851501465,6.360978515625
2020-03-27 03:30:00,40.8437805175781,16.6209716796875,3.42169189453125,198.165603637695,16.6142997741699,31.7860870361328,6.34129931640625
2020-03-27 04:00:00,40.7864990234375,16.5740356445312,3.12188720703125,198.344741821289,16.5816993713379,31.7736053466797,6.34703173828125
2020-03-27 04:30:00,40.7396240234375,16.5440673828125,2.05419921875,201.725677490234,16.5480003356934,31.7566566467285,6.4552216796875
2020-03-27 05:00:00,40.7228851318359,16.5228271484375,4.22808837890625,198.576950073242,16.5212001800537,31.7589721679688,6.35446240234375
2020-03-27 05:30:00,40.6559219360352,16.4475402832031,2.51580810546875,195.390975952148,16.4370002746582,31.7605171203613,6.25251123046875
2020-03-27 06:00:00,40.5927963256836,16.3852844238281,2.57916259765625,195.041000366211,16.3782997131348,31.755012512207,6.24131201171875
