time,conductivity,temperature,chlorophylla,dissolvedoconcentration,temperature2,DO_mg_L
2021-03-01 11:00:00,40.2548561096191,14.3838500976562,1.83294677734375,271.70947265625,14.382999420166,8.694703125
2021-03-01 11:30:00,40.2895622253418,14.4322509765625,1.74530029296875,271.584197998047,14.4340991973877,8.6906943359375
2021-03-01 12:00:00,40.3235626220703,14.4761962890625,1.43499755859375,271.346984863281,14.4804992675781,8.683103515625
2021-03-01 12:30:00,40.4089126586914,14.5723876953125,1.1878662109375,272.5,14.5720996856689,8.72
2021-03-01 13:00:00,40.544189453125,14.7235717773438,1.41680908203125,274.790985107422,14.7231998443604,8.7933115234375
2021-03-01 13:30:00,40.7088623046875,14.8926696777344,1.021728515625,275.949859619141,14.8921995162964,8.8303955078125
2021-03-01 14:00:00,40.7273750305176,14.9283752441406,1.11273193359375,279.398956298828,14.942099571228,8.9407666015625
2021-03-01 14:30:00,40.8098335266113,15.0211181640625,1.1829833984375,280.524169921875,15.0228996276855,8.9767734375
2021-03-01 15:00:00,40.8701286315918,15.095458984375,1.1785888671875,282.474792480469,15.0906000137329,9.039193359375
2021-03-01 15:30:00,40.8978309631348,15.13818359375,1.2901611328125,284.661956787109,15.1424999237061,9.1091826171875
2021-03-01 16:00:00,40.9195976257324,15.1693420410156,1.23309326171875,284.175048828125,15.1952991485596,9.0936015625
2021-03-01 16:30:00,40.9303436279297,15.2025451660156,1.28973388671875,284.789428710938,15.2227993011475,9.11326171875
2021-03-01 17:00:00,40.900936126709,15.1682434082031,1.14422607421875,289.909545898438,15.1722993850708,9.27710546875
2021-03-01 17:30:00,40.8712577819824,15.13818359375,1.2869873046875,290.197387695312,15.1436996459961,9.28631640625
2021-03-01 18:00:00,40.854190826416,15.114013671875,1.43829345703125,289.133087158203,15.1223993301392,9.2522587890625
2021-03-01 18:30:00,40.8304252624512,15.0784301757812,1.82208251953125,287.819732666016,15.0801992416382,9.2102314453125
2021-03-01 19:00:00,40.8175506591797,15.0638732910156,1.61273193359375,288.508941650391,15.0679998397827,9.2322861328125
2021-03-01 19:30:00,40.8382301330566,15.0694885253906,1.34222412109375,287.784210205078,15.065899848938,9.2090947265625
2021-03-01 20:00:00,40.7616233825684,14.9687194824219,2.74517822265625,288.970581054688,15.0130996704102,9.24705859375
2021-03-01 20:30:00,40.7137145996094,14.9402465820312,2.712646484375,288.784912109375,14.9478998184204,9.2411171875
2021-03-01 21:00:00,40.6603202819824,14.8727111816406,1.69622802734375,289.304046630859,14.8906993865967,9.2577294921875
2021-03-01 21:30:00,40.6381912231445,14.8475646972656,1.5262451171875,287.330596923828,14.8399991989136,9.1945791015625
2021-03-01 22:00:00,40.6004829406738,14.802490234375,2.33685302734375,287.990905761719,14.772500038147,9.215708984375
2021-03-01 22:30:00,40.5362892150879,14.74072265625,1.16888427734375,287.779144287109,14.7142992019653,9.2089326171875
2021-03-01 23:00:00,40.5010414123535,14.6832885742188,1.20257568359375,287.610961914062,14.6854991912842,9.20355078125
2021-03-01 23:30:00,40.4833602905273,14.6444091796875,1.46063232421875,286.537017822266,14.6297998428345,9.1691845703125
2021-03-02 00:00:00,40.4676742553711,14.5994262695312,1.5089111328125,286.541198730469,14.6049995422363,9.169318359375
2021-03-02 00:30:00,40.4528999328613,14.5931091308594,1.5567626953125,284.876159667969,14.5906991958618,9.116037109375
2021-03-02 01:00:00,40.4511222839355,14.5738220214844,1.394287109375,284.772003173828,14.5745992660522,9.1127041015625
2021-03-02 01:30:00,40.4379348754883,14.554931640625,1.6962890625,283.451385498047,14.5556993484497,9.0704443359375
2021-03-02 02:00:00,40.4194183349609,14.5309448242188,1.432373046875,281.64306640625,14.5356998443604,9.012578125
2021-03-02 02:30:00,40.4071159362793,14.5282287597656,1.71649169921875,279.777770996094,14.5265998840332,8.952888671875
2021-03-02 03:00:00,40.3746604919434,14.4952697753906,1.398193359375,278.268432617188,14.4966993331909,8.90458984375
2021-03-02 03:30:00,40.3531150817871,14.4739990234375,1.41082763671875,277.102172851562,14.4790000915527,8.86726953125
2021-03-02 04:00:00,40.330379486084,14.4635314941406,1.4454345703125,274.913055419922,14.4572992324829,8.7972177734375
2021-03-02 04:30:00,40.2923736572266,14.4243774414062,1.53656005859375,273.403839111328,14.4358997344971,8.7489228515625
2021-03-02 05:00:00,40.2540969848633,14.3995056152344,1.4453125,271.993957519531,14.4018993377686,8.703806640625
2021-03-02 05:30:00,40.2001991271973,14.3457946777344,1.2406005859375,269.255432128906,14.3510999679565,8.616173828125
2021-03-02 06:00:00,40.1539115905762,14.3154296875,1.30596923828125,268.236724853516,14.3115997314453,8.5835751953125
2021-03-02 06:30:00,40.1205177307129,14.2821655273438,1.46905517578125,267.497894287109,14.2860994338989,8.5599326171875
2021-03-02 07:00:00,40.0684280395508,14.2192993164062,1.1695556640625,266.352600097656,14.2463998794556,8.523283203125
2021-03-02 07:30:00,40.0621871948242,14.2074584960938,1.50543212890625,268.103149414062,14.2186994552612,8.57930078125
2021-03-02 08:00:00,40.04248046875,14.1942443847656,1.3411865234375,266.497406005859,14.2086992263794,8.5279169921875
2021-03-02 08:30:00,40.012321472168,14.1723327636719,1.2947998046875,266.64599609375,14.1842994689941,8.532671875
2021-03-02 09:00:00,40.0503959655762,14.2009887695312,1.5810546875,266.820251464844,14.207200050354,8.538248046875
2021-03-02 09:30:00,40.0970268249512,14.2356872558594,2.24908447265625,270.042572021484,14.2481994628906,8.6413623046875
2021-03-02 10:00:00,40.1092224121094,14.2594909667969,1.9912109375,270.032318115234,14.2666997909546,8.6410341796875
